display_title,mpaa_rating,critics_pick,byline,headline,summary_short,publication_date,opening_date,date_updated,boxoffice,genre,director,writer,actor,awards
Big Game,PG-13,1,ANDY WEBSTER,Review: &#8216;Big Game&#8217; Stars Samuel L. Jackson as a President in Dire Straits,"In this adventure, a Scandinavian teenager encounters the American president, who has bailed out of a doomed Air Force One over the Finnish woods.",2015-06-25,2015-06-26,2017-11-02 4:18,17408,Action,Jalmari Helander,"Jalmari Helander (screenplay by), Jalmari Helander (based on the original story by), Petri Jokiranta (based on the original story by)",Samuel L. Jackson,1 win & 8 nominations.
Big Men,,1,JEANNETTE CATSOULIS,"Oil Money, and Where It Flows",Rachel Boynton’s documentary “Big Men” is about the 2007 discovery of oil off the coast of Ghana and the perfect storm of avarice that develops around it.,2014-03-13,2014-03-14,2017-11-02 4:18,43191,Documentary,Rachel Boynton,Rachel Boynton,N/A,2 wins & 6 nominations.
Big Sur,R,1,STEPHEN HOLDEN,A Writer Who’s Beat in Search of a Refuge,"Michael Polish’s film “Big Sur” is based on Jack Kerouac’s visits to that coastal California region, where he fled the literary success that followed the publication of “On the Road.”",2013-10-31,2013-11-01,2017-11-02 4:18,35927,Drama,Michael Polish,"Michael Polish (screenplay), Jack Kerouac (novel)",Jean-Marc Barr,1 nomination.
Bikes vs Cars,,1,ANDY WEBSTER,Review: ‘Bikes vs Cars’ Explores the Debate in Cyclist-Friendly Cities,"From a cabdriver in Copenhagen to an activist in São Paulo, Fredrik Gertten’s documentary presents a wide range of viewpoints.",2015-12-03,2015-12-04,2017-11-02 4:18,NA,Documentary,Fredrik Gertten,Fredrik Gertten,Aline Cavalcante,N/A
Bill Cunningham New York,Not Rated,1,CARINA CHOCANO,Capturing a ‘Look at Me’ Milieu With Impish Modesty,Richard Press’s documentary “Bill Cunningham New York” follows that “On the Street” fashion photographer of The New York Times.,2011-03-15,2011-03-16,2017-11-02 4:18,1510026,Documentary,Richard Press,N/A,Bill Cunningham,1 win & 12 nominations.
Bill Frisell: A Portrait,,1,GLENN KENNY,"Review: ‘Bill Frisell,’ a Winning Portrait of a Very Nice Guitarist","The director Emma Franz focuses on a musician who seems to never stop playing, featuring great collaborators of this “no drama” artist.",2017-12-05,2017-12-06,2017-12-15 17:44,NA,Documentary,Emma Franz,Emma Franz,Joey Baron,N/A
Birdman,R,1,MANOHLA DARGIS,"Former Screen Star, Molting on Broadway",Alejandro G. I&#241;&#225;rritu&#8217;s comedy &#8220;Birdman&#8221; stars Michael Keaton as a onetime movie superhero betting his career on a strange Broadway play.,2014-10-16,2014-11-14,2017-11-02 4:18,NA,Animation,Alejandro Inarritu,N/A,Keith Andes,Won 4 Oscars
Bitch,,1,JEANNETTE CATSOULIS,"Review: In ‘Bitch,’ a Desperate Housewife Finds Her Bark",Jason Ritter plays a husband whose wife goes to the dogs in this feminist horror-comedy.,2017-11-09,2017-11-10,2017-11-17 17:44,NA,Comedy,Marianna Palka,Marianna Palka,Marianna Palka,1 win & 1 nomination.
Black Swan,R,1,MANOHLA DARGIS,"On Point, on Top, in Pain",In “Black Swan” Natalie Portman plays an ambitious ballerina straining to handle stardom.,2010-12-02,2010-12-17,2017-11-02 4:18,106952327,Drama,Darren Aronofsky,"Mark Heyman (screenplay), Andres Heinz (screenplay), John J. McLaughlin (screenplay), Andres Heinz (story)",Natalie Portman,Won 1 Oscar. Another 91 wins & 257 nominations.
Blackhat,R,1,MANOHLA DARGIS,Unshackled Hacker Dons a White Hat,"In Michael Mann&#8217;s &#8220;Blackhat,&#8221; a hacker is provisionally released from prison to combat a cybercriminal who has sabotaged a nuclear plant and manipulated a financial market.",2015-01-15,2015-01-16,2017-11-02 4:18,5686515,Action,Michael Mann,Morgan Davis Foehl,Chris Hemsworth,5 nominations.
Blank City,Not Rated,1,A. O. SCOTT,That ’80s Moment When Nothing and (Almost) Everything Mattered,The documentary “Blank City” looks at iconoclastic downtown New York filmmakers in the late 1970s and early ’80s.,2011-04-05,2011-04-06,2017-11-02 4:18,NA,Documentary,Celine Danhier,N/A,Amos Poe,N/A
Bleed for This,R,1,GLENN KENNY,Review: ‘Bleed for This’ Is a Boxing Movie That Gets Boxing,"The film tells the true story of the brash fighter Vinny Pazienza, who fractured his neck in a car accident but earned his place back in the ring.",2016-11-17,2016-11-18,2017-11-02 4:18,5051927,Biography,Ben Younger,"Ben Younger (screenplay by), Ben Younger (story by), Pippa Bianco (story by), Angelo Pizzo (story by)",Miles Teller,1 win.
Blind,,1,STEPHEN HOLDEN,"Review: In &#8216;Blind,&#8217; Perception and Fantasy Converge in a Writer&#8217;s Mind",A Norwegian woman who recently lost her sight struggles to keep in touch with the visual world in Eskil Vogt&#8217;s debut feature.,2015-09-03,2015-09-04,2017-11-02 4:18,NA,Drama,Eskil Vogt,Eskil Vogt,Ellen Dorrit Petersen,17 wins & 11 nominations.
Blue Jasmine,PG-13,1,MANOHLA DARGIS,"Pride Stays, Even After the Fall","Cate Blanchett plays a wealthy woman who has lost her money and her bearings in “Blue Jasmine,” directed by Woody Allen.",2013-07-25,2013-08-23,2017-11-02 4:18,NA,Drama,Woody Allen,Woody Allen,Cate Blanchett,Won 1 Oscar. Another 54 wins & 75 nominations.
Bluebird,,1,STEPHEN HOLDEN,"Review: In ‘Bluebird,’ Momentary Distraction Sets Off a Chain of Misery","In this film set in a Maine logging town, a school-bus driver deals with the repercussions of a tragic mistake.",2015-02-26,2015-02-27,2017-11-02 4:18,NA,Drama,Lance Edmands,Lance Edmands (screenplay),Amy Morton,3 wins & 11 nominations.
Bombay Beach,,1,STEPHEN HOLDEN,Last Resort Remains an Oasis of Dreams,"“Bombay Beach,” a documentary about an abandoned California wonderland that still holds wonder for some of its residents.",2011-10-13,2011-10-14,2017-11-02 4:18,NA,Documentary,Alma Har'el,N/A,N/A,2 wins & 4 nominations.
Boom Bust Boom,,1,KEN JAWOROWSKI,"Review: ‘Boom Bust Boom,’ a Pythonesque Look at Financial Crashes","This film by Terry Jones, formerly of Monty Python, explores the 2008 financial collapse and the possibility of more crashes through animation, puppetry and interviews with economists.",2016-03-10,2016-03-11,2017-11-02 4:18,NA,Documentary,"Bill Jones, Terry Jones, Ben Timlett(co-director)","Terry Jones, Theo Kocken",Dirk Bezemer,N/A
Born to Be Blue,R,1,STEPHEN HOLDEN,"Review: ‘Born to Be Blue,’ Portrait of a Trumpeter as a Heroin Addict",Ethan Hawke plays Chet Baker in this extended riff on a jazz life written and directed by Robert Budreau.,2016-03-24,2016-03-25,2017-11-02 4:18,NA,Biography,Robert Budreau,Robert Budreau,Ethan Hawke,3 wins & 7 nominations.
Boyhood,R,1,MANOHLA DARGIS,From Baby Fat to Stubble: Growing Up in Real Time,"Richard Linklater’s tender and profound film, which follows a boy and his family over a dozen years in real time, is a meticulously textured work set to the rhythm of life.",2014-07-10,2014-08-15,2017-11-02 4:18,18859617,Drama,Richard Linklater,Richard Linklater,Ellar Coltrane,Won 1 Oscar. Another 171 wins & 209 nominations.
Braddock America,,1,JEANNETTE CATSOULIS,"Ravaged by Time, a Steel Town Tries to Hold On","“Braddock America” chronicles the troubles of Braddock, Pa., a steel town that has seen better days.",2014-10-30,2014-10-31,2017-11-02 4:18,NA,Documentary,"Gabriella Kessler, Jean-Loïc Portron",Jean-Loïc Portron,N/A,N/A
Brawl in Cell Block 99,Not Rated,1,JEANNETTE CATSOULIS,Review: ‘Brawl in Cell Block 99’ Features a Revelatory Vince Vaughn,Mr. Vaughn plays a reluctant avenger in this vicious thriller from the director of “Bone Tomahawk.”,2017-10-05,2017-10-06,2017-11-02 4:18,NA,Crime,S. Craig Zahler,S. Craig Zahler,Vince Vaughn,4 nominations.
Bridesmaids,R,1,MANOHLA DARGIS,"Deflating That Big, Puffy White Gown","“Bridesmaids” celebrates the giddy, liberating humor of the writers Kristen Wiig and Annie Mumolo.",2011-05-12,2011-05-13,2017-11-02 4:18,166500000,Comedy,Paul Feig,"Kristen Wiig, Annie Mumolo",Kristen Wiig,Nominated for 2 Oscars. Another 25 wins & 69 nominations.
Broken Embraces,R,1,A. O. SCOTT,"Almodóvar’s Happy Agony, Swirling Amid Jealousy and Revenge",Can there be such a thing as exuberant melancholy? I can’t think of another way to describe the spirit of “Broken Embraces.”,2009-11-19,2010-01-15,2017-11-02 4:18,4900000,Drama,Pedro Almodóvar,Pedro Almodóvar,Penélope Cruz,Nominated for 1 Golden Globe. Another 9 wins & 41 nominations.
Brooklyn,PG-13,1,A. O. SCOTT,"Review: Resettling the Meaning of Home in ‘Brooklyn,’ With Saoirse Ronan","This film about a familiar American story, the immigrant who arrives with dreams of the future and pangs over leaving home, explores the question: Where do we come from?",2015-11-03,2015-11-25,2017-11-02 4:18,30459009,Drama,John Crowley,"Nick Hornby, Colm Tóibín (novel)",Saoirse Ronan,Nominated for 3 Oscars. Another 37 wins & 152 nominations.
Brotherhood,,1,STEPHEN HOLDEN,"A Band of Neo-Nazis, Navigating Sexuality","Danish men who harass Pakistani immigrants, beat up homosexuals and idolize Hitler while struggling with their own sexuality.",2010-08-05,2010-08-06,2017-11-02 4:18,NA,Crime,N/A,Blake Masters,Jason Isaacs,4 wins & 5 nominations.
Buena Vista Social Club: Adios,PG,1,GLENN KENNY,"Review: ‘Buena Vista Social Club: Adios,’ Analytical but Still Loving","This vital, informative companion piece to Wim Wenders’s 1999 documentary chronicles the late-life careers, and deaths, of the “Buena Vista” stars.",2017-05-24,2017-05-26,2017-11-02 4:18,118253,Documentary,Lucy Walker,N/A,Ibrahim Ferrer,N/A
Bugs,,1,BEN KENIGSBERG,Review: ‘Bugs’ Is a Culinary Adventure. Insects Never Looked so Yummy.,Ben Reade and Josh Evans travel the world to visit cultures where insects are prepared as food.,2017-09-26,2017-09-27,2017-11-02 4:18,NA,Horror,Joseph Conti,"Patrick Doody (story), Chris Valenziano (story), Joseph Conti (story), Robinson Young (screenplay), Patrick Doody (screenplay), Chris Valenziano (screenplay)",Antonio Sabato Jr.,N/A
Call Her Applebroog,,1,GLENN KENNY,"Review: ‘Call Her Applebroog,’ Beth B’s Portrait of a Still-Vital Artist","Beth B, Ida Applebroog’s daughter, takes an intimate look at the artist’s drawings, paintings and emphatic engagement with others.",2016-06-09,2016-06-10,2017-11-02 4:18,2559,Documentary,Beth B,N/A,Ida Applebroog,N/A
Call Me by Your Name,R,1,MANOHLA DARGIS,Review: A Boy’s Own Desire in ‘Call Me by Your Name’,"In the latest movie from the Italian director Luca Guadagnino (“I Am Love”), Armie Hammer plays a visiting student who falls for his host’s teenage son.",2017-11-22,2017-11-24,2017-12-22 17:44,NA,Drama,Luca Guadagnino,"James Ivory (screenplay by), André Aciman (based on the novel by)",Armie Hammer,Won 1 Oscar. Another 82 wins & 196 nominations.
Call Me Kuchu,,1,STEPHEN HOLDEN,Where Being Gay Is a Life-and-Death Struggle,"The documentary “Call Me Kuchu” chronicles the struggles of the gay rights movement in Uganda, and its prime mover, David Kato, who was bludgeoned to death in January 2011.",2013-06-13,2013-06-14,2017-11-02 4:18,8941,Documentary,"Katherine Fairfax Wright, Malika Zouhali-Worrall","Katherine Fairfax Wright, Malika Zouhali-Worrall",David Bahati,14 wins & 12 nominations.
Captain Fantastic,R,1,MANOHLA DARGIS,Review: Viggo Mortensen Captivates in ‘Captain Fantastic’,Mr. Mortensen is just one of the reasons to see this film about a family forced to leave their home in the woods and become reacquainted with society.,2016-07-07,2016-07-08,2017-11-02 4:18,5875006,Comedy,Matt Ross,Matt Ross,Viggo Mortensen,Nominated for 1 Oscar. Another 14 wins & 42 nominations.
Captain Phillips,PG-13,1,MANOHLA DARGIS,A Thriller Armed With Thought,"Based on a true story of a hijacking by Somali pirates, “Captain Phillips” begins as something of a procedural about men at work and morphs into a jittery thriller.",2013-10-10,2013-10-11,2017-11-02 4:18,107100855,Biography,Paul Greengrass,"Billy Ray (screenplay), Richard Phillips (based upon the book ""A Captain's Duty: Somali Pirates,  Navy SEALS,  and Dangerous Days at Sea"" by), Stephan Talty (based upon the book ""A Captain's Duty: Somali Pirates,  Navy SEALS,  and Dangerous Days at Sea"" by)",Tom Hanks,Nominated for 6 Oscars. Another 16 wins & 144 nominations.
Carol,R,1,A. O. SCOTT,Review: ‘Carol’ Explores the Sweet Science of Magnetism,"Two women fall in love in this new film from Todd Haynes, based on the Patricia Highsmith novel “The Price of Salt.”",2015-11-19,2016-01-15,2017-11-02 4:18,8518148,Drama,Todd Haynes,"Phyllis Nagy (screenplay), Patricia Highsmith (novel)",Cate Blanchett,Nominated for 6 Oscars. Another 75 wins & 238 nominations.
Cars 3,G,1,GLENN KENNY,"Review: In ‘Cars 3,’ Lightning McQueen Faces an Existential Crisis",Lightning is back and feeling a bit old in this latest breezy feature in the Pixar franchise. It offers life lessons that will resonate with adults as well as with children.,2017-06-14,2017-06-16,2017-11-02 4:18,152603003,Animation,Brian Fee,"Brian Fee (original story by), Ben Queen (original story by), Eyal Podell (original story by), Jonathon E. Stewart (original story by), Kiel Murray (screenplay by), Bob Peterson (screenplay by), Mike Rich (screenplay by), Scott Morse (additional story material)",Owen Wilson,20 nominations.
Cash Only,,1,KEN JAWOROWSKI,"Review: ‘Cash Only’: Repaying a Crook, When Things Turn Gritty","In Malik Bader’s drama, the clock is ticking fast for a desperate Detroit landlord who steals money from the wrong person.",2016-05-12,2016-05-13,2017-11-02 4:18,NA,Crime,Malik Bader,Nickola Shreli,Nickola Shreli,1 win.
Catching the Sun,,1,ANDY WEBSTER,Review: ‘Catching the Sun’ Profiles Solar Energy Entrepreneurs and Activists,This documentary spotlights international efforts to build a green economy through solar power.,2016-03-31,2016-04-01,2017-11-02 4:18,NA,Documentary,Shalini Kantayya,Shalini Kantayya,N/A,1 nomination.
Cedar Rapids,R,1,MANOHLA DARGIS,"An Innocent Abroad, at a Convention in Iowa","In “Cedar Rapids,” an insurance salesman leaves his hometown for the first time to attend a convention, where he plunges into the reality of the world outside his tiny one.",2011-02-10,2011-03-18,2017-11-02 4:18,6800000,Comedy,Miguel Arteta,Phil Johnston,Ed Helms,1 win & 4 nominations.
Certified Copy,Not Rated,1,STEPHEN HOLDEN,"On the Road, Packing Querulous Erudition","In Abbas Kiarostami’s “Certified Copy,” a couple (Juliette Binoche and William Shimell) drive through Tuscany arguing about art, representation and authenticity.",2011-03-10,2011-03-25,2017-11-02 4:18,1337384,Drama,Abbas Kiarostami,"Caroline Eliacheff (collaborator on screenplay), Abbas Kiarostami",Juliette Binoche,10 wins & 24 nominations.
Chasing Coral,,1,NICOLE HERRINGTON,Review: ‘Chasing Coral’ Bears Witness to the Death Aquatic,"Jeff Orlowski’s documentary emphasizes that climate change isn’t just an aboveground phenomenon — warmer oceans mean that coral reefs are in peril, too.",2017-07-13,2017-07-14,2017-11-02 4:18,NA,Documentary,Jeff Orlowski,"Davis Coombe, Vickie Curtis, Jeff Orlowski",Andrew Ackerman,6 wins & 15 nominations.
Cheap Thrills,Not Rated,1,NEIL GENZLINGER,"Facing Eviction, He Can’t Resist a Dare",“Cheap Thrills” is a dark comedy about two friends who fall into a rough game with a wealthy couple they meet at a bar.,2014-03-27,2014-03-21,2017-11-02 4:18,NA,Comedy,E.L. Katz,"David Chirchirillo, Trent Haaga",Pat Healy,9 wins & 8 nominations.
Chicken People,,1,HELEN T. VERONGOS,"Review: ‘Chicken People,’ Pampering Royalty That Clucks","This documentary, directed by Nicole Lucas Haimes, looks at devotees of these fair fowl on the show circuit.",2016-09-22,2016-09-23,2017-11-02 4:18,NA,Documentary,Nicole Lucas Haimes,N/A,N/A,2 nominations.
Chinese Puzzle,R,1,STEPHEN HOLDEN,"Love, Sex, Marriage and Schopenhauer’s Ghost","“Chinese Puzzle,” the third film in a trilogy, centers on a womanizing Frenchman who follows his ex-wife to New York.",2014-05-15,2014-05-16,2017-11-02 4:18,NA,Comedy,Cédric Klapisch,Cédric Klapisch (screenplay),Romain Duris,2 nominations.
Citizenfour,R,1,A. O. SCOTT,Intent on Defying an All-Seeing Eye,"&#8220;Citizenfour,&#8221; about Edward J. Snowden&#8217;s quest to expose sweeping government surveillance of citizens, has the effect of a spooky and deeply unsettling thriller.",2014-10-23,2014-11-28,2017-11-02 4:18,NA,Documentary,Laura Poitras,N/A,Edward Snowden,Won 1 Oscar. Another 43 wins & 35 nominations.
City of Gold,R,1,A. O. SCOTT,Review: Tastes of Los Angeles in ‘City of Gold’,"Laura Gabbert’s documentary follows the food critic Jonathan Gold in his pursuit of excellence, which can lead to a taco truck or a high-end restaurant.",2016-03-10,2016-03-11,2017-11-02 4:18,608799,Documentary,Laura Gabbert,"Laura Gabbert (story), Laura Gabbert",David Chang,3 nominations.
